fromferc,toferc,value
CAISO,CAISO,1032
CAISO,Mexico,605
CAISO,NorthernGrid,8660
CAISO,WestConnect,7023
ERCOT,Mexico,382
ERCOT,SPP,832
FRCC,FRCC,8660
FRCC,SERC,2869
ISONE,NYISO,1851
ISONE,New Brunswick,995
ISONE,Quebec,2213
MISO,MISO,224
MISO,Manitoba,2727
MISO,Ontario,1758
MISO,PJM,7753
MISO,SERC,6826
MISO,SPP,3996
NYISO,ISONE,1900
NYISO,Ontario,1729
NYISO,PJM,3818
NYISO,Quebec,1805
NorthernGrid,Alberta,315
NorthernGrid,British Colombia,2622
NorthernGrid,CAISO,8654
NorthernGrid,NorthernGrid,3464
NorthernGrid,WestConnect,2052
PJM,MISO,16445
PJM,NYISO,5300
PJM,SERC,7472
SCRTP,SCRTP,34514
SCRTP,SERC,33887
SERC,FRCC,2869
SERC,MISO,7257
SERC,PJM,5176
SERC,SCRTP,2111
SERC,SERC,2163
SERC,SPP,1686
SPP,ERCOT,833
SPP,MISO,3985
SPP,SERC,1743
SPP,SPP,557
SPP,Saskatchewan,173
SPP,WestConnect,904
WestConnect,CAISO,6906
WestConnect,NorthernGrid,2051
WestConnect,SPP,904
WestConnect,WestConnect,5530
