fromferc,toferc,value
CAISO,CAISO,3295267
CAISO,Mexico,542
CAISO,NorthernGrid,7236
CAISO,WestConnect,8893
ERCOT,Mexico,421
ERCOT,SPP,834
FRCC,FRCC,122376
FRCC,SERC,3131
ISONE,NYISO,1886
ISONE,New Brunswick,982
ISONE,Quebec,2163
MISO,MISO,418
MISO,Manitoba,1990
MISO,Ontario,1722
MISO,PJM,7112
MISO,SERC,3773
MISO,SPP,2688
NYISO,ISONE,1875
NYISO,Ontario,1826
NYISO,PJM,3663
NYISO,Quebec,1802
NorthernGrid,Alberta,309
NorthernGrid,British Colombia,2575
NorthernGrid,CAISO,7236
NorthernGrid,NorthernGrid,1085687
NorthernGrid,WestConnect,1820
PJM,MISO,14399
PJM,NYISO,4219
PJM,SERC,9041
SCRTP,SCRTP,810
SCRTP,SERC,1437
SERC,FRCC,3129
SERC,MISO,3974
SERC,PJM,4613
SERC,SCRTP,1694
SERC,SERC,1950
SERC,SPP,1514
SPP,ERCOT,833
SPP,MISO,2686
SPP,SERC,1458
SPP,SPP,585
SPP,Saskatchewan,151
SPP,WestConnect,682
WestConnect,CAISO,8893
WestConnect,NorthernGrid,9375
WestConnect,SPP,682
WestConnect,WestConnect,8218
