fromferc,toferc,value
CAISO,CAISO,5828
CAISO,Mexico,599
CAISO,NorthernGrid,8242
CAISO,WestConnect,6687
ERCOT,Mexico,390
ERCOT,SPP,815
FRCC,FRCC,72313
FRCC,SERC,2585
ISONE,NYISO,1731
ISONE,New Brunswick,991
ISONE,Quebec,2173
MISO,MISO,355
MISO,Manitoba,2677
MISO,Ontario,1769
MISO,PJM,7697
MISO,SERC,3939
MISO,SPP,2632
NYISO,ISONE,1788
NYISO,Ontario,3019
NYISO,PJM,3675
NYISO,Quebec,1746
NorthernGrid,Alberta,294
NorthernGrid,British Colombia,2430
NorthernGrid,CAISO,8307
NorthernGrid,NorthernGrid,11112
NorthernGrid,WestConnect,1530
PJM,MISO,14144
PJM,NYISO,4637
PJM,SERC,4959
SCRTP,SCRTP,730
SCRTP,SERC,1616
SERC,FRCC,2586
SERC,MISO,3995
SERC,PJM,3972
SERC,SCRTP,1861
SERC,SERC,1384
SERC,SPP,1381
SPP,ERCOT,850
SPP,MISO,2663
SPP,SERC,5380311
SPP,SPP,568
SPP,Saskatchewan,138
SPP,WestConnect,1005
WestConnect,CAISO,6687
WestConnect,NorthernGrid,1961
WestConnect,SPP,1005
WestConnect,WestConnect,5884
